sep=,
name_id,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0
MultiLargeBots-v1-t1,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.4251007,0.42173162,0.42020273,0.42237213,0.394821,0.39132044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MultiLargeBots-v2-t1,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.39615455,0.3956701,0.35187274,0.3069289,0.2671613,0.2671613,0.2671613,0.2671613,0.2671613,0.2671613,0.23816663,0.2667702,0.20536187,0.22548398,0.27719566,nan,nan
MultiMediumBots-v1-t1,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.55326533,0.48110828,0.46833444,0.48015285,0.46657473
MultiMediumBots-v2-t1,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4820017,0.4640415,0.45652643,0.45652643,0.48847592
MultiMediumBots-v3-t1,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5266764,0.5250512,0.52428067,0.54065686,0.45064583,0.44629535,0.42920452
MultiPeople-v1-t1,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.53244597,0.5316751,0.5316751,0.5301886,0.5494926,0.49474928
MultiSmallBots-v1-t1,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.6601772,0.65922236
MultiSmallBots-v2-t1,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223,0.7626223
MultiSmallBots-v3-t1,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,0.732894,nan,nan,nan
